day,dailly_cases
1,0
2,2
3,11
4,19
5,17
6,96
7,48
8,38
9,28
10,86
11,109
12,144
13,251
14,144
15,477
16,694
17,1359
18,1992
19,3826
20,3072
21,5067
22,6301
23,5515
24,5908
25,7491
26,8245
27,8356
28,7771
29,8253
30,10454
31,15863
32,11682
33,12161
34,11413
35,11976
36,11792
37,9437
38,12074
39,14058
40,13533
41,9834
42,9306
43,9876
44,10350
45,9263
46,10281
47,9984
48,8366
49,7737
50,9078
51,6828
52,6970
53,7904
54,8952
55,10940
56,6524
57,6445
58,5017
59,5327
60,6428
61,6576
62,5406
63,4250
64,5025
65,3844
66,3828
67,4896
68,4356
69,3327
70,2795
71,3135
72,2783
73,2835
74,3655
75,3356
76,3169
77,2395
78,2818
79,2463
80,2195
81,2844
82,2783
83,2471
84,2124
85,1906
86,1845
87,1643
88,1807
89,2200
90,1657
91,1379
92,1650
93,1523
94,1258
95,1594
96,1463
97,1207
98,1011
99,1101
100,949
101,727
102,1049
103,1079
104,865
105,777
106,906
107,719
108,670
109,960
110,1004
111,792
112,749
113,872
114,697
115,688
116,1028
117,1037
118,876
119,684
120,742
121,730
122,774
123,1141
124,1023
125,844
126,837
127,772
128,701
129,799
130,1040
131,1166
132,1004
133,849
134,937
135,1110
136,1020
137,1136
138,1072
139,964
140,738
141,967
142,991
143,846
144,1155
145,1032
146,944
147,771
148,1020
149,861
150,923
151,1151
152,1043
